Entity,Code,Year,production
Cameroon,CMR,2003,48000
Cameroon,CMR,2004,54000
Cameroon,CMR,2005,60000
Cameroon,CMR,2006,62300
Cameroon,CMR,2007,47792
Cameroon,CMR,2008,50687
Cameroon,CMR,2009,48123
Cameroon,CMR,2010,66584
Cameroon,CMR,2011,26322
Cameroon,CMR,2012,38127
Cameroon,CMR,2013,41800
Cameroon,CMR,2014,38082
Cameroon,CMR,2015,35938
Cameroon,CMR,2016,35600
Cameroon,CMR,2017,36540
Cameroon,CMR,2018,36026
Cameroon,CMR,2019,36055
Cape Verde,CPV,1990,50
Cape Verde,CPV,1991,10
Cape Verde,CPV,1992,0
Cape Verde,CPV,2011,62
Cape Verde,CPV,2012,88
Cape Verde,CPV,2013,62
Cape Verde,CPV,2014,52
Cape Verde,CPV,2015,52
Cape Verde,CPV,2016,68
Cape Verde,CPV,2017,47
Cape Verde,CPV,2018,46
Cape Verde,CPV,2019,40
Central African Republic,CAF,1990,14314
Central African Republic,CAF,1991,17625
Central African Republic,CAF,1992,9036
Central African Republic,CAF,1993,9124
Central African Republic,CAF,1994,14500
Central African Republic,CAF,1995,9000
Central African Republic,CAF,1996,18000
Central African Republic,CAF,1997,15000
Central African Republic,CAF,1998,12037
Central African Republic,CAF,1999,11260
Central African Republic,CAF,2000,12900
Central African Republic,CAF,2001,12300
Central African Republic,CAF,2002,13000
Central African Republic,CAF,2003,5520
Central African Republic,CAF,2004,4320
Central African Republic,CAF,2005,3300
Central African Republic,CAF,2006,1500
Central African Republic,CAF,2007,2400
Central African Republic,CAF,2008,3300
Central African Republic,CAF,2009,3544
Central African Republic,CAF,2010,5270
Central African Republic,CAF,2011,6218
Central African Republic,CAF,2012,6923
Central African Republic,CAF,2013,7975
Central African Republic,CAF,2014,10799
Central African Republic,CAF,2015,9050
Central African Republic,CAF,2016,10120
Central African Republic,CAF,2017,9299
Central African Republic,CAF,2018,9374
Central African Republic,CAF,2019,10118
China,CHN,1990,6300
China,CHN,1991,3500
China,CHN,1992,3800
China,CHN,1993,4000
China,CHN,1994,3250
China,CHN,1995,3196
China,CHN,1996,3023
China,CHN,1997,3573
China,CHN,1998,6237
China,CHN,1999,8743
China,CHN,2000,11568
China,CHN,2001,17202
China,CHN,2002,19456
China,CHN,2003,23144
China,CHN,2004,21659
China,CHN,2005,21919
China,CHN,2006,25655
China,CHN,2007,26000
China,CHN,2008,33278
China,CHN,2009,70405
China,CHN,2010,49596
China,CHN,2011,65384
China,CHN,2012,92064
China,CHN,2013,116826
China,CHN,2014,127586
China,CHN,2015,115140
China,CHN,2016,113345
China,CHN,2017,114074
China,CHN,2018,115500
China,CHN,2019,120000
Colombia,COL,1990,845000
Colombia,COL,1991,970740
Colombia,COL,1992,1100000
Colombia,COL,1993,818220
Colombia,COL,1994,721860
Colombia,COL,1995,821820
Colombia,COL,1996,671401
Colombia,COL,1997,642239
Colombia,COL,1998,766980
Colombia,COL,1999,546720
Colombia,COL,2000,637140
Colombia,COL,2001,656160
Colombia,COL,2002,696840
Colombia,COL,2003,694080
Colombia,COL,2004,674400
Colombia,COL,2005,667140
Colombia,COL,2006,724740
Colombia,COL,2007,757080
Colombia,COL,2008,688680
Colombia,COL,2009,468720
Colombia,COL,2010,535380
Colombia,COL,2011,468540
Colombia,COL,2012,462000
Colombia,COL,2013,653160
Colombia,COL,2014,728400
Colombia,COL,2015,827750
Colombia,COL,2016,818243
Colombia,COL,2017,851640
Colombia,COL,2018,813420
Colombia,COL,2019,885120
Comoros,COM,1990,90
Comoros,COM,1991,91
Comoros,COM,1992,92
Comoros,COM,1993,92
Comoros,COM,1994,93
Comoros,COM,1995,94
Comoros,COM,1996,94
Comoros,COM,1997,95
Comoros,COM,1998,96
Comoros,COM,1999,98
Comoros,COM,2000,98
Comoros,COM,2001,101
Comoros,COM,2002,103
Comoros,COM,2003,100
Comoros,COM,2004,110
Comoros,COM,2005,120
Comoros,COM,2006,119
Comoros,COM,2007,121
Comoros,COM,2008,123
Comoros,COM,2009,124
Comoros,COM,2010,126
Comoros,COM,2011,127
Comoros,COM,2012,130
Comoros,COM,2013,132
Comoros,COM,2014,133
Comoros,COM,2015,135
Comoros,COM,2016,136
Comoros,COM,2017,137
Comoros,COM,2018,138
Comoros,COM,2019,139
Congo,COG,1990,1354
Congo,COG,1991,1401
Congo,COG,1992,1450
Congo,COG,1993,1501
Congo,COG,1994,1553
Congo,COG,1995,1606
Congo,COG,1996,1600
Congo,COG,1997,1338
Congo,COG,1998,850
Congo,COG,1999,1490
Congo,COG,2000,1550
Congo,COG,2001,1612
Congo,COG,2002,1687
Congo,COG,2003,2000
Congo,COG,2004,2800
Congo,COG,2005,3300
Congo,COG,2006,3000
Congo,COG,2007,3000
Congo,COG,2008,2400
Congo,COG,2009,2700
Congo,COG,2010,2827
Congo,COG,2011,2901
Congo,COG,2012,2935
Congo,COG,2013,2987
Congo,COG,2014,3005
Congo,COG,2015,3039
Congo,COG,2016,3062
Congo,COG,2017,3035
Congo,COG,2018,3045
Congo,COG,2019,3048
Cook Islands,COK,1990,2
Cook Islands,COK,1991,2
Cook Islands,COK,1992,5
Cook Islands,COK,1993,4
Cook Islands,COK,1994,8
Cook Islands,COK,1995,15
Cook Islands,COK,1996,20
Cook Islands,COK,1997,15
Cook Islands,COK,1998,10
Cook Islands,COK,1999,5
Cook Islands,COK,2000,6
Cook Islands,COK,2001,7
Cook Islands,COK,2002,7
Cook Islands,COK,2003,3
Cook Islands,COK,2004,0
Cook Islands,COK,2005,0
Cook Islands,COK,2006,0
Cook Islands,COK,2007,0
Cook Islands,COK,2008,0
Cook Islands,COK,2009,0
Cook Islands,COK,2010,0
Cook Islands,COK,2011,0
Cook Islands,COK,2012,0
Cook Islands,COK,2013,0
Cook Islands,COK,2014,0
Cook Islands,COK,2015,0
Cook Islands,COK,2016,0
Cook Islands,COK,2017,0
Cook Islands,COK,2018,0
Cook Islands,COK,2019,0
Costa Rica,CRI,1990,151100
Costa Rica,CRI,1991,158000
Costa Rica,CRI,1992,168000
Costa Rica,CRI,1993,156927
Costa Rica,CRI,1994,147998
Costa Rica,CRI,1995,150061
Costa Rica,CRI,1996,154131
Costa Rica,CRI,1997,132015
Costa Rica,CRI,1998,152385
Costa Rica,CRI,1999,147868
Costa Rica,CRI,2000,161395
Costa Rica,CRI,2001,150289
Costa Rica,CRI,2002,140874
Costa Rica,CRI,2003,132259
Costa Rica,CRI,2004,126000
Costa Rica,CRI,2005,125669
Costa Rica,CRI,2006,101038
Costa Rica,CRI,2007,121058
Costa Rica,CRI,2008,111959
Costa Rica,CRI,2009,91403
Costa Rica,CRI,2010,91620
Costa Rica,CRI,2011,95038
Costa Rica,CRI,2012,117873
Costa Rica,CRI,2013,71381
Costa Rica,CRI,2014,96735
Costa Rica,CRI,2015,83846
Costa Rica,CRI,2016,93720
Costa Rica,CRI,2017,90419
Costa Rica,CRI,2018,66611
Costa Rica,CRI,2019,66301
Cote d'Ivoire,CIV,1990,285164
Cote d'Ivoire,CIV,1991,198909
Cote d'Ivoire,CIV,1992,257000
Cote d'Ivoire,CIV,1993,138937
Cote d'Ivoire,CIV,1994,145576
Cote d'Ivoire,CIV,1995,194968
Cote d'Ivoire,CIV,1996,167786
Cote d'Ivoire,CIV,1997,279219
Cote d'Ivoire,CIV,1998,311000
Cote d'Ivoire,CIV,1999,307331
Cote d'Ivoire,CIV,2000,380000
Cote d'Ivoire,CIV,2001,301127
Cote d'Ivoire,CIV,2002,182001
Cote d'Ivoire,CIV,2003,140027
Cote d'Ivoire,CIV,2004,154081
Cote d'Ivoire,CIV,2005,230000
Cote d'Ivoire,CIV,2006,187000
Cote d'Ivoire,CIV,2007,170849
Cote d'Ivoire,CIV,2008,173118
Cote d'Ivoire,CIV,2009,142945
Cote d'Ivoire,CIV,2010,94372
Cote d'Ivoire,CIV,2011,32291
Cote d'Ivoire,CIV,2012,121426
Cote d'Ivoire,CIV,2013,103743
Cote d'Ivoire,CIV,2014,109913
Cote d'Ivoire,CIV,2015,127000
Cote d'Ivoire,CIV,2016,106000
Cote d'Ivoire,CIV,2017,33600
Cote d'Ivoire,CIV,2018,41434
Cote d'Ivoire,CIV,2019,65036
Cuba,CUB,1990,24900
Cuba,CUB,1991,22740
Cuba,CUB,1992,18720
Cuba,CUB,1993,17100
Cuba,CUB,1994,17040
Cuba,CUB,1995,17100
Cuba,CUB,1996,16680
Cuba,CUB,1997,19980
Cuba,CUB,1998,13500
Cuba,CUB,1999,22020
Cuba,CUB,2000,16500
Cuba,CUB,2001,15720
Cuba,CUB,2002,14700
Cuba,CUB,2003,15000
Cuba,CUB,2004,15240
Cuba,CUB,2005,10800
Cuba,CUB,2006,8400
Cuba,CUB,2007,13500
Cuba,CUB,2008,6240
Cuba,CUB,2009,7980
Cuba,CUB,2010,8430
Cuba,CUB,2011,10150
Cuba,CUB,2012,7560
Cuba,CUB,2013,8944
Cuba,CUB,2014,9203
Cuba,CUB,2015,7417
Cuba,CUB,2016,7540
Cuba,CUB,2017,6780
Cuba,CUB,2018,7680
Cuba,CUB,2019,7800
Democratic Republic of Congo,COD,1990,101594
Democratic Republic of Congo,COD,1991,95000
Democratic Republic of Congo,COD,1992,92400
Democratic Republic of Congo,COD,1993,90109
Democratic Republic of Congo,COD,1994,88346
Democratic Republic of Congo,COD,1995,84714
Democratic Republic of Congo,COD,1996,73975
Democratic Republic of Congo,COD,1997,70299
Democratic Republic of Congo,COD,1998,55991
Democratic Republic of Congo,COD,1999,48605
Democratic Republic of Congo,COD,2000,46767
Democratic Republic of Congo,COD,2001,34723
Democratic Republic of Congo,COD,2002,32080
Democratic Republic of Congo,COD,2003,32050
Democratic Republic of Congo,COD,2004,32020
Democratic Republic of Congo,COD,2005,31990
Democratic Republic of Congo,COD,2006,31960
Democratic Republic of Congo,COD,2007,31930
Democratic Republic of Congo,COD,2008,31900
Democratic Republic of Congo,COD,2009,31870
Democratic Republic of Congo,COD,2010,31840
Democratic Republic of Congo,COD,2011,31810
Democratic Republic of Congo,COD,2012,31562
Democratic Republic of Congo,COD,2013,29701
Democratic Republic of Congo,COD,2014,28233
Democratic Republic of Congo,COD,2015,30999
Democratic Republic of Congo,COD,2016,29644
Democratic Republic of Congo,COD,2017,29626
Democratic Republic of Congo,COD,2018,30090
Democratic Republic of Congo,COD,2019,29787
Dominica,DMA,1990,178
Dominica,DMA,1991,205
Dominica,DMA,1992,204
Dominica,DMA,1993,340
Dominica,DMA,1994,350
Dominica,DMA,1995,349
Dominica,DMA,1996,360
Dominica,DMA,1997,360
Dominica,DMA,1998,362
Dominica,DMA,1999,370
Dominica,DMA,2000,366
Dominica,DMA,2001,368
Dominica,DMA,2002,371
Dominica,DMA,2003,380
Dominica,DMA,2004,380
Dominica,DMA,2005,385
Dominica,DMA,2006,386
Dominica,DMA,2007,405
Dominica,DMA,2008,365
Dominica,DMA,2009,337
Dominica,DMA,2010,308
Dominica,DMA,2011,281
Dominica,DMA,2012,235
Dominica,DMA,2013,250
Dominica,DMA,2014,239
Dominica,DMA,2015,215
Dominica,DMA,2016,235
Dominica,DMA,2017,229
Dominica,DMA,2018,226
Dominica,DMA,2019,230
Dominican Republic,DOM,1990,59377
Dominican Republic,DOM,1991,55222
Dominican Republic,DOM,1992,42464
Dominican Republic,DOM,1993,37744
Dominican Republic,DOM,1994,32715
Dominican Republic,DOM,1995,42407
Dominican Republic,DOM,1996,47895
Dominican Republic,DOM,1997,33997
Dominican Republic,DOM,1998,56943
Dominican Republic,DOM,1999,34609
Dominican Republic,DOM,2000,45546
Dominican Republic,DOM,2001,35476
Dominican Republic,DOM,2002,37330
Dominican Republic,DOM,2003,36929
Dominican Republic,DOM,2004,35421
Dominican Republic,DOM,2005,40303
Dominican Republic,DOM,2006,41352
Dominican Republic,DOM,2007,41232
Dominican Republic,DOM,2008,35582
Dominican Republic,DOM,2009,37950
Dominican Republic,DOM,2010,21876
Dominican Republic,DOM,2011,22680
Dominican Republic,DOM,2012,27009
Dominican Republic,DOM,2013,18552
Dominican Republic,DOM,2014,13213
Dominican Republic,DOM,2015,9888
Dominican Republic,DOM,2016,11471
Dominican Republic,DOM,2017,15241
Dominican Republic,DOM,2018,18416
Dominican Republic,DOM,2019,13873
Ecuador,ECU,1990,134980
Ecuador,ECU,1991,116917
Ecuador,ECU,1992,137671
Ecuador,ECU,1993,137004
Ecuador,ECU,1994,186797
Ecuador,ECU,1995,148205
Ecuador,ECU,1996,168919
Ecuador,ECU,1997,173868
Ecuador,ECU,1998,48190
Ecuador,ECU,1999,132939
Ecuador,ECU,2000,27606
Ecuador,ECU,2001,164790
Ecuador,ECU,2002,23325
Ecuador,ECU,2003,23579
Ecuador,ECU,2004,27932
Ecuador,ECU,2005,40805
Ecuador,ECU,2006,31461
Ecuador,ECU,2007,38687
Ecuador,ECU,2008,32096
Ecuador,ECU,2009,33624
Ecuador,ECU,2010,31347
Ecuador,ECU,2011,23829
Ecuador,ECU,2012,7340
Ecuador,ECU,2013,7760
Ecuador,ECU,2014,4225
Ecuador,ECU,2015,5297
Ecuador,ECU,2016,3905
Ecuador,ECU,2017,7564
Ecuador,ECU,2018,5065
Ecuador,ECU,2019,8141
El Salvador,SLV,1990,147200
El Salvador,SLV,1991,149450
El Salvador,SLV,1992,175720
El Salvador,SLV,1993,140576
El Salvador,SLV,1994,140534
El Salvador,SLV,1995,139513
El Salvador,SLV,1996,148859
El Salvador,SLV,1997,124239
El Salvador,SLV,1998,117214
El Salvador,SLV,1999,160782
El Salvador,SLV,2000,114087
El Salvador,SLV,2001,112201
El Salvador,SLV,2002,91513
El Salvador,SLV,2003,81157
El Salvador,SLV,2004,83088
El Salvador,SLV,2005,87963
El Salvador,SLV,2006,85350
El Salvador,SLV,2007,96355
El Salvador,SLV,2008,97727
El Salvador,SLV,2009,76591
El Salvador,SLV,2010,112636
El Salvador,SLV,2011,82095
El Salvador,SLV,2012,89489
El Salvador,SLV,2013,32864
El Salvador,SLV,2014,41965
El Salvador,SLV,2015,35682
El Salvador,SLV,2016,38636
El Salvador,SLV,2017,41141
El Salvador,SLV,2018,45660
El Salvador,SLV,2019,39660
Equatorial Guinea,GNQ,1990,6500
Equatorial Guinea,GNQ,1991,6000
Equatorial Guinea,GNQ,1992,5500
Equatorial Guinea,GNQ,1993,5329
Equatorial Guinea,GNQ,1994,5000
Equatorial Guinea,GNQ,1995,4500
Equatorial Guinea,GNQ,1996,5000
Equatorial Guinea,GNQ,1997,5000
Equatorial Guinea,GNQ,1998,5000
Equatorial Guinea,GNQ,1999,3500
Equatorial Guinea,GNQ,2000,5000
Equatorial Guinea,GNQ,2001,5000
Equatorial Guinea,GNQ,2002,5000
Equatorial Guinea,GNQ,2003,5000
Equatorial Guinea,GNQ,2004,4000
Equatorial Guinea,GNQ,2005,4000
Equatorial Guinea,GNQ,2006,4500
Equatorial Guinea,GNQ,2007,4398
Equatorial Guinea,GNQ,2008,4300
Equatorial Guinea,GNQ,2009,4000
Equatorial Guinea,GNQ,2010,4251
Equatorial Guinea,GNQ,2011,4343
Equatorial Guinea,GNQ,2012,4595
Equatorial Guinea,GNQ,2013,4402
Equatorial Guinea,GNQ,2014,4385
Equatorial Guinea,GNQ,2015,4254
Equatorial Guinea,GNQ,2016,4174
Equatorial Guinea,GNQ,2017,4205
Equatorial Guinea,GNQ,2018,4226
Equatorial Guinea,GNQ,2019,4207
Eritrea and Ethiopia,OWID_ERE,1990,204000
Eritrea and Ethiopia,OWID_ERE,1991,210000
Eritrea and Ethiopia,OWID_ERE,1992,216000
Ethiopia,ETH,1993,180000
Ethiopia,ETH,1994,207000
Ethiopia,ETH,1995,229980
Ethiopia,ETH,1996,229980
Ethiopia,ETH,1997,228000
Ethiopia,ETH,1998,229980
Ethiopia,ETH,1999,217450
Ethiopia,ETH,2000,229980
Ethiopia,ETH,2001,157155
Ethiopia,ETH,2002,160000
Ethiopia,ETH,2003,126188
Ethiopia,ETH,2004,156170
Ethiopia,ETH,2005,171631
Ethiopia,ETH,2006,241482
Ethiopia,ETH,2007,273400
Ethiopia,ETH,2008,260239
Ethiopia,ETH,2009,265469
Ethiopia,ETH,2010,370569
Ethiopia,ETH,2011,376823
Ethiopia,ETH,2012,275530
Ethiopia,ETH,2013,392006
Ethiopia,ETH,2014,419980
Ethiopia,ETH,2015,457014
Ethiopia,ETH,2016,469091
Ethiopia,ETH,2017,449230
Ethiopia,ETH,2018,494574
Ethiopia,ETH,2019,482561
Fiji,FJI,1990,660
Fiji,FJI,1991,354
Fiji,FJI,1992,226
Fiji,FJI,1993,176
Fiji,FJI,1994,11
Fiji,FJI,1995,10
Fiji,FJI,1996,10
Fiji,FJI,1997,11
Fiji,FJI,1998,11
Fiji,FJI,1999,11
Fiji,FJI,2000,15
Fiji,FJI,2001,16
Fiji,FJI,2002,15
Fiji,FJI,2003,15
Fiji,FJI,2004,15
Fiji,FJI,2005,15
Fiji,FJI,2006,14
Fiji,FJI,2007,15
Fiji,FJI,2008,15
Fiji,FJI,2009,15
Fiji,FJI,2010,15
Fiji,FJI,2011,16
Fiji,FJI,2012,18
Fiji,FJI,2013,20
Fiji,FJI,2014,21
Fiji,FJI,2015,8
Fiji,FJI,2016,16
Fiji,FJI,2017,15
Fiji,FJI,2018,13
Fiji,FJI,2019,15
French Polynesia,PYF,1990,6
French Polynesia,PYF,1991,13
French Polynesia,PYF,1992,4
French Polynesia,PYF,1993,8
French Polynesia,PYF,1994,9
French Polynesia,PYF,1995,10
French Polynesia,PYF,1996,10
French Polynesia,PYF,1997,11
French Polynesia,PYF,1998,16
French Polynesia,PYF,1999,18
French Polynesia,PYF,2000,18
French Polynesia,PYF,2001,18
French Polynesia,PYF,2002,17
French Polynesia,PYF,2003,17
French Polynesia,PYF,2004,15
French Polynesia,PYF,2005,16
French Polynesia,PYF,2006,17
French Polynesia,PYF,2007,17
French Polynesia,PYF,2008,16
French Polynesia,PYF,2009,18
French Polynesia,PYF,2010,18
French Polynesia,PYF,2011,20
French Polynesia,PYF,2012,20
French Polynesia,PYF,2013,22
French Polynesia,PYF,2014,20
French Polynesia,PYF,2015,21
French Polynesia,PYF,2016,22
French Polynesia,PYF,2017,21
French Polynesia,PYF,2018,21
French Polynesia,PYF,2019,21
Gabon,GAB,1990,269
Gabon,GAB,1991,451
Gabon,GAB,1992,193
Gabon,GAB,1993,256
Gabon,GAB,1994,259
Gabon,GAB,1995,159
Gabon,GAB,1996,219
Gabon,GAB,1997,154
Gabon,GAB,1998,145
Gabon,GAB,1999,125
Gabon,GAB,2000,198
Gabon,GAB,2001,60
Gabon,GAB,2002,180
Gabon,GAB,2003,120
Gabon,GAB,2004,135
Gabon,GAB,2005,131
Gabon,GAB,2006,120
Gabon,GAB,2007,125
Gabon,GAB,2008,121
Gabon,GAB,2009,117
Gabon,GAB,2010,113
Gabon,GAB,2011,109
Gabon,GAB,2012,106
Gabon,GAB,2013,109
Gabon,GAB,2014,102
Gabon,GAB,2015,93
Gabon,GAB,2016,102
Gabon,GAB,2017,99
Gabon,GAB,2018,98
Gabon,GAB,2019,99
Ghana,GHA,1990,1000
Ghana,GHA,1991,2300
Ghana,GHA,1992,2400
Ghana,GHA,1993,4000
Ghana,GHA,1994,3000
Ghana,GHA,1995,3575
Ghana,GHA,1996,6330
Ghana,GHA,1997,2880
Ghana,GHA,1998,8370
Ghana,GHA,1999,3965
Ghana,GHA,2000,1956
Ghana,GHA,2001,1379
Ghana,GHA,2002,1464
Ghana,GHA,2003,900
Ghana,GHA,2004,1140
Ghana,GHA,2005,1200
Ghana,GHA,2006,1740
Ghana,GHA,2007,1860
Ghana,GHA,2008,1620
Ghana,GHA,2009,1860
Ghana,GHA,2010,1200
Ghana,GHA,2011,550
Ghana,GHA,2012,600
Ghana,GHA,2013,698
Ghana,GHA,2014,736
Ghana,GHA,2015,736
Ghana,GHA,2016,736
Ghana,GHA,2017,736
Ghana,GHA,2018,736
Ghana,GHA,2019,736
Guadeloupe,GLP,1990,20
Guadeloupe,GLP,1991,20
Guadeloupe,GLP,1992,47
Guadeloupe,GLP,1993,53
Guadeloupe,GLP,1994,23
Guadeloupe,GLP,1995,15
Guadeloupe,GLP,1996,24
Guadeloupe,GLP,1997,27
Guadeloupe,GLP,1998,29
Guadeloupe,GLP,1999,32
Guadeloupe,GLP,2000,35
Guadeloupe,GLP,2001,35
Guadeloupe,GLP,2002,35
Guadeloupe,GLP,2003,30
Guadeloupe,GLP,2004,19
Guadeloupe,GLP,2005,25
Guadeloupe,GLP,2006,24
Guatemala,GTM,1990,202400
Guatemala,GTM,1991,196190
Guatemala,GTM,1992,206586
Guatemala,GTM,1993,208650
Guatemala,GTM,1994,213900
Guatemala,GTM,1995,210920
Guatemala,GTM,1996,240300
Guatemala,GTM,1997,271440
Guatemala,GTM,1998,253080
Guatemala,GTM,1999,293520
Guatemala,GTM,2000,312060
Guatemala,GTM,2001,261097
Guatemala,GTM,2002,255091
Guatemala,GTM,2003,244200
Guatemala,GTM,2004,250279
Guatemala,GTM,2005,248277
Guatemala,GTM,2006,240331
Guatemala,GTM,2007,248614
Guatemala,GTM,2008,254914
Guatemala,GTM,2009,247503
Guatemala,GTM,2010,248355
Guatemala,GTM,2011,265401
Guatemala,GTM,2012,272432
Guatemala,GTM,2013,248668
Guatemala,GTM,2014,227653
Guatemala,GTM,2015,225653
Guatemala,GTM,2016,236145
